Kategori: Tüm kategoriler

Ay,asgari ücret: (Türkiye)
2008-01,13
2008-02,7
2008-03,3
2008-04,3
2008-05,3
2008-06,4
2008-07,11
2008-08,8
2008-09,4
2008-10,4
2008-11,4
2008-12,8
2009-01,12
2009-02,7
2009-03,4
2009-04,4
2009-05,4
2009-06,5
2009-07,10
2009-08,7
2009-09,4
2009-10,4
2009-11,4
2009-12,8
2010-01,12
2010-02,9
2010-03,5
2010-04,4
2010-05,5
2010-06,4
2010-07,11
2010-08,8
2010-09,5
2010-10,5
2010-11,4
2010-12,10
2011-01,10
2011-02,7
2011-03,5
2011-04,4
2011-05,4
2011-06,5
2011-07,9
2011-08,7
2011-09,5
2011-10,6
2011-11,4
2011-12,11
2012-01,13
2012-02,13
2012-03,10
2012-04,5
2012-05,4
2012-06,5
2012-07,10
2012-08,8
2012-09,7
2012-10,7
2012-11,5
2012-12,13
2013-01,13
2013-02,11
2013-03,6
2013-04,5
2013-05,7
2013-06,7
2013-07,11
2013-08,7
2013-09,7
2013-10,6
2013-11,7
2013-12,19
2014-01,13
2014-02,10
2014-03,6
2014-04,5
2014-05,5
2014-06,6
2014-07,9
2014-08,8
2014-09,7
2014-10,6
2014-11,6
2014-12,16
2015-01,13
2015-02,9
2015-03,6
2015-04,6
2015-05,6
2015-06,6
2015-07,9
2015-08,8
2015-09,5
2015-10,8
2015-11,13
2015-12,27
2016-01,18
2016-02,9
2016-03,5
2016-04,3
2016-05,3
2016-06,4
2016-07,3
2016-08,4
2016-09,4
2016-10,5
2016-11,8
2016-12,28
2017-01,11
2017-02,9
2017-03,5
2017-04,5
2017-05,5
2017-06,5
2017-07,7
2017-08,6
2017-09,6
2017-10,8
2017-11,9
2017-12,62
2018-01,17
2018-02,11
2018-03,8
2018-04,8
2018-05,9
2018-06,9
2018-07,9
2018-08,9
2018-09,11
2018-10,12
2018-11,16
2018-12,73
2019-01,19
2019-02,14
2019-03,9
2019-04,8
2019-05,8
2019-06,8
2019-07,9
2019-08,10
2019-09,10
2019-10,11
2019-11,14
2019-12,100
2020-01,26
2020-02,22
2020-03,13
2020-04,11
2020-05,10
2020-06,12
2020-07,15
2020-08,15
2020-09,15
2020-10,17
2020-11,18
2020-12,80
