Tarih,TP DK USD A YTL,TP KTF10,TP FG J03,TP TG2 Y07,TP TG2 Y01
2012-01,1.84,19.97,131.07,102.57,92.50
2012-02,1.75,19.42,125.74,105.52,93.80
2012-03,1.78,18.85,127.08,107.17,93.19
2012-04,1.78,18.54,143.86,103.61,88.71
2012-05,1.80,18.35,156.23,106.55,91.93
2012-06,1.82,18.10,154.95,107.28,91.42
2012-07,1.80,17.87,148.16,105.60,92.50
2012-08,1.79,17.48,141.35,106.79,90.28
2012-09,1.80,16.65,137.64,112.08,89.02
2012-10,1.79,16.31,147.02,109.87,84.87
2012-11,1.79,15.73,156.25,110.60,89.88
2012-12,1.78,14.25,153.91,107.26,89.07
2013-01,1.76,14.06,143.22,104.25,91.52
2013-02,1.77,13.76,134.11,104.00,91.76
2013-03,1.81,13.52,135.26,105.76,92.06
2013-04,1.80,13.45,152.50,109.10,92.71
2013-05,1.82,12.67,165.99,110.85,95.53
2013-06,1.89,11.82,163.10,111.70,94.70
2013-07,1.93,12.47,155.46,112.76,96.54
2013-08,1.95,13.12,149.84,111.85,95.29
2013-09,2.02,13.94,146.43,115.42,91.43
2013-10,1.99,13.81,160.43,115.75,93.34
2013-11,2.02,13.77,165.68,113.66,96.78
2013-12,2.06,13.57,161.41,111.21,94.16
2014-01,2.22,15.03,149.16,109.51,91.54
2014-02,2.21,16.83,141.61,106.39,89.21
2014-03,2.22,17.15,145.13,109.20,92.43
2014-04,2.13,16.87,164.14,111.22,97.37
2014-05,2.09,16.68,179.22,113.26,95.11
2014-06,2.12,15.96,176.98,111.01,93.50
2014-07,2.12,15.32,171.18,111.41,93.73
2014-08,2.16,15.08,162.76,109.86,93.65
2014-09,2.20,14.86,158.79,117.35,94.02
2014-10,2.26,14.91,174.59,113.20,91.43
2014-11,2.23,14.68,181.76,112.91,90.87
2014-12,2.29,14.39,175.02,111.65,90.15
2015-01,2.33,14.86,162.80,110.93,89.35
2015-02,2.46,14.89,152.09,107.58,88.80
2015-03,2.58,14.68,153.70,105.45,86.49
2015-04,2.65,14.84,172.60,110.00,87.42
2015-05,2.65,15.43,189.96,108.97,86.80
2015-06,2.70,15.68,187.45,112.62,89.63
2015-07,2.69,15.70,178.13,110.22,88.24
2015-08,2.85,16.05,170.44,107.81,85.20
2015-09,3.00,16.91,165.74,112.60,82.15
2015-10,2.93,17.70,184.69,113.91,86.04
2015-11,2.87,17.51,194.60,111.27,95.15
2015-12,2.92,17.33,190.75,112.02,93.34
2016-01,3.01,17.61,177.96,110.40,91.95
2016-02,2.94,17.94,167.00,109.12,89.68
2016-03,2.89,18.03,167.58,109.38,89.87
2016-04,2.83,17.85,188.69,111.79,91.25
2016-05,2.93,17.52,203.87,111.26,91.70
2016-06,2.92,17.33,201.16,111.64,92.01
2016-07,2.96,17.38,192.84,109.30,89.66
2016-08,2.96,17.52,183.80,109.83,95.17
2016-09,2.96,17.34,177.39,115.18,94.78
2016-10,3.07,16.72,195.90,112.76,95.02
2016-11,3.27,16.09,203.53,112.70,91.41
2016-12,3.49,16.20,198.34,110.53,87.01
2017-01,3.73,16.36,184.48,110.44,88.39
2017-02,3.67,16.72,178.30,105.90,87.63
2017-03,3.67,16.62,181.85,105.65,89.89
2017-04,3.65,16.88,198.45,105.18,91.95
2017-05,3.56,17.24,210.30,109.88,94.22
2017-06,3.52,17.35,207.68,109.73,92.67
2017-07,3.56,17.54,200.39,110.52,93.21
2017-08,3.51,17.91,194.19,111.69,93.49
2017-09,3.47,18.16,195.75,114.31,92.00
2017-10,3.66,18.54,218.28,111.65,89.60
2017-11,3.88,18.79,226.52,111.02,87.35
2017-12,3.85,19.36,221.10,109.73,87.81
2018-01,3.77,20.02,207.78,108.95,92.38
2018-02,3.78,20.18,199.29,109.74,92.97
2018-03,3.88,19.84,201.38,109.18,92.28
2018-04,4.05,19.98,222.32,112.58,91.65
2018-05,4.41,20.19,233.91,112.15,90.95
2018-06,4.63,23.11,231.23,110.51,91.05
2018-07,4.75,24.96,224.14,109.49,92.92
2018-08,5.73,28.82,220.58,113.45,88.70
2018-09,6.37,36.41,229.34,112.25,81.15
2018-10,5.86,38.72,258.56,110.36,78.42
2018-11,5.37,36.10,264.70,106.79,80.95
2018-12,5.31,33.59,253.89,104.48,79.66
2019-01,5.37,30.81,233.70,106.28,80.11
2019-02,5.26,26.42,222.45,106.16,78.79
2019-03,5.44,23.51,223.47,105.23,81.10
2019-04,5.74,25.94,235.45,105.15,83.61
2019-05,6.05,29.02,245.08,103.74,77.05
2019-06,5.81,29.18,241.24,108.02,80.09
2019-07,5.67,27.41,233.52,105.10,78.94
2019-08,5.62,23.09,230.94,106.53,79.60
2019-09,5.71,20.17,235.87,109.05,77.64
2019-10,5.78,18.34,263.47,105.61,78.17
2019-11,5.73,16.99,270.55,106.71,81.24
2019-12,5.84,15.98,265.38,107.29,80.49
2020-01,5.92,15.19,247.73,105.85,81.12
2020-02,6.04,14.36,235.76,103.37,79.29
2020-03,6.31,14.73,237.29,102.60,80.98
2020-04,6.82,12.39,246.98,95.49,78.18
2020-05,6.95,10.61,263.90,97.64,82.85
2020-06,6.81,12.67,266.95,99.39,82.98
2020-07,6.85,12.37,257.67,100.18,82.82
2020-08,7.25,16.54,252.23,99.29,79.77
2020-09,7.51,18.49,252.16,100.37,81.91
2020-10,7.87,19.50,269.32,105.66,81.54
2020-11,8.00,21.08,273.24,105.69,79.98
2020-12,7.72,22.76,264.54,100.29,79.80
2021-01,7.39,22.82,252.97,103.65,82.87
