"","price","event_date","product_content_id","sold_count","visit_count","favored_count","basket_count","category_sold","category_brand_sold","category_visits","ty_visits","category_basket","category_favored","w_day","Month","weeknumber"
"1",67.92,2021-06-18,4066298,2362,28495,1774,6862,10011,8616,140196,91784941,31630,11462,NA,NA,NA
"2",72.5,2021-06-17,4066298,494,5535,344,1407,3575,1919,49818,102409626,11647,3949,"Thu","Jun","24"
"3",72.53,2021-06-16,4066298,383,4782,231,1140,3721,1822,53000,105918459,13130,4131,"Wed","Jun","24"
"4",72.56,2021-06-15,4066298,381,4325,226,880,3779,1819,50480,103541571,11154,4093,"Tue","Jun","24"
"5",72.67,2021-06-14,4066298,269,3867,226,773,3099,1355,47481,107738598,10059,4170,"Mon","Jun","24"
"6",72.54,2021-06-13,4066298,298,3806,226,776,2962,1344,44974,124336805,9868,4324,"Sun","Jun","24"
"7",72.6,2021-06-12,4066298,236,3245,177,671,2139,974,36212,94869229,7327,3429,"Sat","Jun","24"
"8",72.56,2021-06-11,4066298,230,3067,175,631,2404,1111,37255,97396151,7867,3054,"Fri","Jun","24"
"9",72.5,2021-06-10,4066298,253,3492,181,723,2670,1257,41835,108667708,8730,3446,"Thu","Jun","23"
"10",72.66,2021-06-09,4066298,244,3670,209,717,2960,1305,46566,111697887,10756,3679,"Wed","Jun","23"
"11",72.56,2021-06-08,4066298,249,3821,203,691,2846,1304,47917,102143446,9617,4665,"Tue","Jun","23"
"12",70.43,2021-06-07,4066298,266,4200,230,657,2863,1357,49737,100674727,9350,3921,"Mon","Jun","23"
"13",65.38,2021-06-06,4066298,448,5092,297,1172,3691,1892,54623,122742173,12461,4918,"Sun","Jun","23"
"14",64.99,2021-06-05,4066298,386,4644,241,1255,3062,1599,50270,99529251,12709,3961,"Sat","Jun","23"
"15",64.99,2021-06-04,4066298,533,6132,469,1517,4181,2219,60732,109059369,15016,5192,"Fri","Jun","23"
"16",65.02,2021-06-03,4066298,725,8082,724,1865,5630,3157,83370,131753581,20042,8802,"Thu","Jun","22"
"17",64.99,2021-06-02,4066298,767,9574,1058,2258,6201,3307,92665,143524682,22056,11152,"Wed","Jun","22"
"18",65.05,2021-06-01,4066298,969,14839,1998,3481,7522,4381,119278,156205012,29052,16281,"Tue","Jun","22"
"19",65.8065093,2021-05-31,4066298,1398,19102,1703,5096,6547,4286,108811,125439876,28558,11913,"Mon","May","22"
"20",72.5,2021-05-30,4066298,598,6217,494,1716,3691,1729,52128,131821083,12777,5221,"Sun","May","22"
"21",72.51378788,2021-05-29,4066298,528,6251,509,1782,3604,1739,54600,129670029,13328,5178,"Sat","May","22"
"22",72.5,2021-05-28,4066298,538,5564,405,1507,1598,4389,3308,103514886,48466,12414,"Fri","May","22"
"23",72.5,2021-05-27,4066298,588,5857,397,1646,1775,4685,3789,107391579,53058,13480,"Thu","May","21"
"24",72.5,2021-05-26,4066298,589,6089,409,1771,1948,5388,4017,106195988,56226,14497,"Wed","May","21"
"25",72.5,2021-05-25,4066298,568,6078,366,1740,1751,3868,3264,107004119,48361,11117,"Tue","May","21"
"26",72.5,2021-05-24,4066298,632,6204,376,1804,1984,4028,3572,108235639,48935,11006,"Mon","May","21"
"27",72.52393398,2021-05-23,4066298,727,7672,485,2464,2603,5635,4286,134993625,67310,17760,"Sun","May","21"
"28",72.50638614,2021-05-22,4066298,606,6675,375,2034,2543,6661,4414,133292217,70208,17398,"Sat","May","21"
"29",72.50444062,2021-05-21,4066298,581,5989,332,1769,2764,6286,4333,114325622,65370,16087,"Fri","May","21"
"30",72.52433594,2021-05-20,4066298,768,8356,465,2620,4427,6843,5980,110621993,84165,25119,"Thu","May","20"
"31",72.5,2021-05-19,4066298,611,5668,309,1919,2036,4487,3463,111518681,50834,12851,"Wed","May","20"
"32",72.5,2021-05-18,4066298,854,8055,562,2599,3005,5524,4671,113480040,64421,16175,"Tue","May","20"
"33",72.5,2021-05-17,4066298,940,8295,581,2579,2726,5024,4559,118545626,60947,13992,"Mon","May","20"
"34",72.57025253,2021-05-16,4066298,198,3211,181,560,1911,4966,3973,153342268,57658,12480,"Sun","May","20"
"35",72.49340278,2021-05-15,4066298,144,2939,146,486,1757,5157,3535,149170542,53732,11232,"Sat","May","20"
"36",72.50484375,2021-05-14,4066298,128,2430,121,431,1446,4094,3115,146822154,48207,10428,"Fri","May","20"
"37",72.49545455,2021-05-13,4066298,88,2393,191,376,990,2907,2157,136620621,36095,7710,"Thu","May","19"
"38",67.70684411,2021-05-12,4066298,263,6067,631,1123,1519,4901,3215,151085860,57202,12631,"Wed","May","19"
"39",72.52808824,2021-05-11,4066298,204,3106,158,600,1815,4958,3890,155978280,58166,13366,"Tue","May","19"
"40",72.62936,2021-05-10,4066298,250,4551,229,977,2442,5888,4885,169430096,72147,18409,"Mon","May","19"
"41",73.00145038,2021-05-09,4066298,131,2403,106,413,1415,3767,3144,168024408,46554,10616,"Sun","May","19"
"42",73.02082645,2021-05-08,4066298,121,2419,104,472,1351,4312,3149,167585151,50697,11830,"Sat","May","19"
"43",73.46686667,2021-05-07,4066298,150,2880,124,497,1697,4619,3615,166533816,55272,12828,"Fri","May","19"
"44",73.5047541,2021-05-06,4066298,183,3397,179,651,1708,4972,3666,167347054,56265,13292,"Thu","May","18"
"45",73.58778761,2021-05-05,4066298,226,3339,158,630,1654,4619,3511,163703836,54827,11935,"Wed","May","18"
"46",73.82955446,2021-05-04,4066298,202,3718,208,642,1408,4195,3071,165351961,51899,10929,"Tue","May","18"
"47",71.80124498,2021-05-03,4066298,249,4216,222,663,1533,3975,3154,168766437,52925,10614,"Mon","May","18"
"48",65.99,2021-05-02,4066298,427,4853,320,1053,1790,4741,3406,169038376,49624,10584,"Sun","May","18"
"49",66.09335378,2021-05-01,4066298,489,5741,324,1491,1984,4852,3676,167166342,53145,12710,"Sat","May","18"
"50",66.02675367,2021-04-30,4066298,613,7826,437,1980,2691,4943,4842,166390910,66063,16400,"Fri","Apr","18"
"51",66.06757642,2021-04-29,4066298,916,12022,820,3156,4215,8135,6796,165272801,95515,23529,"Thu","Apr","17"
"52",66.09016113,2021-04-28,4066298,993,10403,830,3031,3899,8630,6657,169419187,91343,23726,"Wed","Apr","17"
"53",66.06297703,2021-04-27,4066298,1132,15197,1579,3633,4406,13327,7740,178545693,113444,28022,"Tue","Apr","17"
"54",66.94982558,2021-04-26,4066298,688,11089,1050,2837,2539,9039,4556,138166259,79906,19234,"Mon","Apr","17"
"55",74.58528302,2021-04-25,4066298,212,5556,489,806,1233,5719,2757,141577160,52358,10478,"Sun","Apr","17"
"56",70.19303977,2021-04-24,4066298,352,8711,791,1673,1434,7852,3159,141692633,65637,14233,"Sat","Apr","17"
"57",64.05627193,2021-04-23,4066298,1140,16088,1729,4463,2773,9917,4610,132336200,83310,21633,"Fri","Apr","17"
"58",64.53347107,2021-04-22,4066298,726,8415,493,2529,2081,4618,3662,112689057,56986,14818,"Thu","Apr","16"
"59",74.99635659,2021-04-21,4066298,258,4270,259,823,1356,4257,2994,122353032,49861,12178,"Wed","Apr","16"
"60",75,2021-04-20,4066298,292,5014,327,865,1497,4981,3228,121129730,54945,12364,"Tue","Apr","16"
"61",70.8725,2021-04-19,4066298,408,5308,320,1042,1767,5108,3731,118960272,55935,13797,"Mon","Apr","16"
"62",69,2021-04-18,4066298,481,5311,276,1159,1903,4844,3876,141122774,55315,12520,"Sun","Apr","16"
"63",69.09905213,2021-04-17,4066298,422,5032,314,1150,1786,5412,3780,136161033,55406,13347,"Sat","Apr","16"
"64",69,2021-04-16,4066298,447,4943,317,1146,1939,4929,3853,113739321,54009,12551,"Fri","Apr","16"
"65",69.0206379,2021-04-15,4066298,533,5288,281,1427,2363,7443,4452,110483850,58763,14394,"Thu","Apr","15"
"66",69,2021-04-14,4066298,366,4798,303,1265,1762,5409,3456,107502305,52762,13603,"Wed","Apr","15"
