,price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits,ty_visits,category_basket,category_favored,w_day,Month,weeknumber
,349.99,6/18/2021,48740784,3,151,4,5,770,9,243772,91784941,28289,17183,Fri,Jun,24
,-1,6/17/2021,48740784,0,153,12,10,1039,6,223359,102409626,6755,15156,Thu,Jun,24
,419.99,6/16/2021,48740784,5,320,17,19,1080,12,230842,105918459,7089,15149,Wed,Jun,24
,699.98,6/15/2021,48740784,4,286,16,25,1067,12,226804,103541571,6554,16328,Tue,Jun,24
,699.98,6/14/2021,48740784,5,344,25,22,965,14,227173,107738598,6656,16060,Mon,Jun,24
,599.99,6/13/2021,48740784,0,197,13,10,771,2,228212,124336805,6205,14628,Sun,Jun,23
0,349.99,6/12/2021,48740784,2,145,7,12,778,6,193602,94869229,5479,12670,Sat,Jun,23
1,599.99,6/11/2021,48740784,0,127,10,9,860,6,195044,97396151,5966,13228,Fri,Jun,23
2,349.99,6/10/2021,48740784,2,124,10,14,1038,7,216299,108667708,6662,15255,Thu,Jun,23
3,324.99,6/9/2021,48740784,0,145,11,5,1079,7,240254,111697887,7822,17083,Wed,Jun,23
4,324.99,6/8/2021,48740784,2,173,9,17,874,6,219403,102143446,6089,14377,Tue,Jun,23
5,599.98,6/7/2021,48740784,2,228,21,18,951,13,220282,100674727,6431,14861,Mon,Jun,23
6,599.98,6/6/2021,48740784,3,224,10,16,1009,20,276656,122742173,9342,17479,Sun,Jun,23
7,599.98,6/5/2021,48740784,0,225,17,20,935,8,250405,99529251,9345,15961,Sat,Jun,23
8,599.98,6/4/2021,48740784,4,244,17,13,1264,19,267170,109059369,8711,17227,Fri,Jun,23
9,599.98,6/3/2021,48740784,3,364,30,24,2016,17,340405,131753581,11660,23087,Thu,Jun,22
10,599.98,6/2/2021,48740784,6,516,37,32,2565,40,404404,143524682,15296,30685,Wed,Jun,22
11,599.98,6/1/2021,48740784,4,345,35,20,3299,30,583672,156205012,22831,50429,Tue,Jun,22
12,449.985,5/31/2021,48740784,2,221,22,15,1684,12,329087,125439876,12614,24534,Mon,May,22
13,299.99,5/30/2021,48740784,3,281,16,17,1360,16,288949,131821083,9436,18708,Sun,May,22
14,299.99,5/29/2021,48740784,3,212,13,13,2598,15,357502,129670029,16389,22636,Sat,May,22
15,299.99,5/28/2021,48740784,1,93,8,5,12,17912,1805,103514886,263575,10811,Fri,May,22
16,299.99,5/27/2021,48740784,1,104,4,7,15,13930,935,107391579,218188,6942,Thu,May,21
17,299.99,5/26/2021,48740784,4,93,5,6,19,12184,786,106195988,199872,5881,Wed,May,21
18,299.99,5/25/2021,48740784,2,83,4,6,6,13023,812,107004119,210273,6055,Tue,May,21
19,299.99,5/24/2021,48740784,3,60,4,9,12,14371,955,108235639,229103,6814,Mon,May,21
20,299.99,5/23/2021,48740784,0,89,3,5,13,19264,1039,134993625,302559,7975,Sun,May,21
21,299.99,5/22/2021,48740784,0,118,10,14,21,18920,1198,133292217,306264,8834,Sat,May,21
22,299.99,5/21/2021,48740784,1,51,7,2,20,15365,1061,114325622,264663,7945,Fri,May,21
23,299.99,5/20/2021,48740784,0,80,4,4,7,13814,898,110621993,218092,6813,Thu,May,20
24,299.99,5/19/2021,48740784,1,73,8,9,18,15948,960,111518681,246950,7546,Wed,May,20
25,299.99,5/18/2021,48740784,2,70,4,5,17,16110,1092,113480040,269230,8055,Tue,May,20
26,299.99,5/17/2021,48740784,3,116,6,11,15,17527,1092,118545626,280502,8177,Mon,May,20
27,599.98,5/16/2021,48740784,1,107,6,11,19,24068,1454,153342268,382888,10382,Sun,May,20
28,599.98,5/15/2021,48740784,1,146,13,10,12,22995,1292,149170542,359955,9678,Sat,May,20
29,599.98,5/14/2021,48740784,1,139,14,13,16,22713,1325,146822154,378441,10232,Fri,May,20
30,599.98,5/13/2021,48740784,1,78,5,1,17,23065,1442,136620621,391500,11022,Thu,May,19
31,599.98,5/12/2021,48740784,5,124,6,16,22,27147,1974,151085860,459743,13179,Wed,May,19
32,599.98,5/11/2021,48740784,3,72,5,4,28,28043,2080,155978280,464380,14684,Tue,May,19
33,299.99,5/10/2021,48740784,1,63,4,5,22,33983,2509,169430096,523238,17254,Mon,May,19
34,299.99,5/9/2021,48740784,3,65,4,4,26,37770,2461,168024408,568520,17444,Sun,May,19
35,NA,5/8/2021,48740784,0,55,5,6,22,43212,2503,167585151,658966,18995,Sat,May,19
36,NA,5/7/2021,48740784,0,17,1,2,18,28333,2217,166533816,483272,14919,Fri,May,19
37,NA,5/6/2021,48740784,0,0,0,0,23,31543,2548,167347054,541787,16287,Thu,May,18
38,NA,5/5/2021,48740784,0,3,0,0,37,30350,2254,163703836,516050,16012,Wed,May,18
39,NA,5/4/2021,48740784,0,2,1,0,23,32112,2260,165351961,538191,16528,Tue,May,18
40,NA,5/3/2021,48740784,0,1,0,0,20,30942,2209,168766437,528684,16441,Mon,May,18
41,NA,5/2/2021,48740784,0,2,0,0,35,41354,2530,169038376,683147,20116,Sun,May,18
42,NA,5/1/2021,48740784,0,2,0,0,44,48728,3664,167166342,822595,28426,Sat,May,18
43,NA,4/30/2021,48740784,0,2,0,0,46,44648,3795,166390910,761921,25825,Fri,Apr,18
44,NA,4/29/2021,48740784,0,3,0,0,71,46209,4662,165272801,752518,27936,Thu,Apr,17
45,NA,4/28/2021,48740784,0,0,0,0,30,48395,4487,169419187,788813,29574,Wed,Apr,17
46,NA,4/27/2021,48740784,0,1,0,0,60,53834,4321,178545693,849375,29314,Tue,Apr,17
47,NA,4/26/2021,48740784,0,0,0,0,26,49142,3110,138166259,779946,26428,Mon,Apr,17
48,NA,4/25/2021,48740784,0,3,0,0,34,51872,2946,141577160,848103,25804,Sun,Apr,17
49,NA,4/24/2021,48740784,0,8,0,0,43,55286,3389,141692633,882371,27950,Sat,Apr,17
50,NA,4/23/2021,48740784,0,0,0,0,40,49718,3263,132336200,819610,27573,Fri,Apr,17
51,NA,4/22/2021,48740784,0,1,0,0,29,44072,2997,112689057,709677,23160,Thu,Apr,16
52,NA,4/21/2021,48740784,0,1,0,0,39,54755,4038,122353032,838968,25740,Wed,Apr,16
53,NA,4/20/2021,48740784,0,2,0,0,61,57093,4174,121129730,873903,28621,Tue,Apr,16
54,NA,4/19/2021,48740784,0,0,0,0,26,51990,3545,118960272,810814,24682,Mon,Apr,16
55,NA,4/18/2021,48740784,0,2,0,0,46,64192,3857,141122774,1008533,28828,Sun,Apr,16
56,NA,4/17/2021,48740784,0,1,0,0,34,63757,4048,136161033,1014710,31069,Sat,Apr,16
