"","price","event_date","product_content_id","sold_count","visit_count","favored_count","basket_count","category_sold","category_brand_sold","category_visits","ty_visits","category_basket","category_favored","w_day","Month","weeknumber"
"1",146.22,2021-06-18,32939029,108,3400,369,366,638,604,28504,91784941,2368,3375,NA,NA,NA
"2",151.76,2021-06-17,32939029,135,3588,367,381,805,766,33290,102409626,2639,4393,"Thu","Jun","24"
"3",154.62,2021-06-16,32939029,169,5338,616,631,977,924,34081,105918459,3425,3168,"Wed","Jun","24"
"4",140.5,2021-06-15,32939029,265,5643,632,873,1016,983,33020,103541571,3421,3108,"Tue","Jun","24"
"5",140.86,2021-06-14,32939029,245,5633,755,822,959,922,34965,107738598,3481,3900,"Mon","Jun","24"
"6",155.68,2021-06-13,32939029,115,3994,573,472,778,742,33715,124336805,2944,3564,"Sun","Jun","24"
"7",154.59,2021-06-12,32939029,83,3012,433,352,585,558,26084,94869229,2287,2777,"Sat","Jun","24"
"8",151.23,2021-06-11,32939029,76,3039,477,267,658,627,26492,97396151,2350,2830,"Fri","Jun","24"
"9",157.71,2021-06-10,32939029,100,3649,355,384,731,693,27690,108667708,2535,2499,"Thu","Jun","23"
"10",156.06,2021-06-09,32939029,84,4179,422,406,600,564,29614,111697887,2559,2855,"Wed","Jun","23"
"11",155.56,2021-06-08,32939029,133,4551,447,523,788,756,31443,102143446,2834,3089,"Tue","Jun","23"
"12",158.13,2021-06-07,32939029,116,4535,502,494,772,732,33034,100674727,2890,3698,"Mon","Jun","23"
"13",156.23,2021-06-06,32939029,127,5233,712,564,880,834,39862,122742173,3515,4468,"Sun","Jun","23"
"14",149.75,2021-06-05,32939029,90,4484,522,408,681,645,32275,99529251,2853,3416,"Sat","Jun","23"
"15",137.9,2021-06-04,32939029,217,5521,557,706,845,799,33638,109059369,3196,3002,"Fri","Jun","23"
"16",138.94,2021-06-03,32939029,264,6507,785,1010,1464,1366,46224,131753581,4877,4502,"Thu","Jun","22"
"17",138.39,2021-06-02,32939029,315,9748,1858,1275,1572,1433,59310,143524682,5756,7938,"Wed","Jun","22"
"18",147.55,2021-06-01,32939029,141,5775,623,692,1395,1284,57676,156205012,5770,7995,"Tue","Jun","22"
"19",141.21272,2021-05-31,32939029,125,5301,698,608,930,875,41973,125439876,3911,5791,"Mon","May","22"
"20",141.8578417,2021-05-30,32939029,139,5049,609,604,911,866,43021,131821083,3801,4602,"Sun","May","22"
"21",142.1201504,2021-05-29,32939029,133,5383,624,615,895,857,40310,129670029,3611,3946,"Sat","May","22"
"22",137.6754945,2021-05-28,32939029,182,5853,608,739,807,3370,861,103514886,34608,3214,"Fri","May","22"
"23",136.0229362,2021-05-27,32939029,235,6720,869,911,800,3946,853,107391579,36514,3377,"Thu","May","21"
"24",136.682915,2021-05-26,32939029,247,6907,859,937,835,3769,876,106195988,36545,3494,"Wed","May","21"
"25",141.9259664,2021-05-25,32939029,119,4661,525,507,698,3019,753,107004119,32981,2960,"Tue","May","21"
"26",142.1650336,2021-05-24,32939029,149,5013,524,578,778,3144,816,108235639,34224,3097,"Mon","May","21"
