PrductID,Date,Actual,Prediction
48740784,6/12/2021,2,0
48740784,6/13/2021,0,2
48740784,6/14/2021,5,2
48740784,6/15/2021,4,2
48740784,6/16/2021,5,4
48740784,6/17/2021,0,5
48740784,6/18/2021,3,4
48740784,6/19/2021,0,2
48740784,6/20/2021,1,1
48740784,6/21/2021,2,0
48740784,6/22/2021,2,0
48740784,6/23/2021,2,1
48740784,6/24/2021,2,1
48740784,6/25/2021,2,1
73318567,6/12/2021,39,51
73318567,6/13/2021,44,44
73318567,6/14/2021,67,39
73318567,6/15/2021,44,39
73318567,6/16/2021,72,101
73318567,6/17/2021,68,65
73318567,6/18/2021,46,69
73318567,6/19/2021,26,77
73318567,6/20/2021,15,71
73318567,6/21/2021,20,63
73318567,6/22/2021,47,43
73318567,6/23/2021,40,41
73318567,6/24/2021,37,34
73318567,6/25/2021,20,38
32737302,6/12/2021,41,44
32737302,6/13/2021,73,44
32737302,6/14/2021,88,41
32737302,6/15/2021,88,67
32737302,6/16/2021,104,90
32737302,6/17/2021,102,82
32737302,6/18/2021,76,82
32737302,6/19/2021,43,196
32737302,6/20/2021,76,90
32737302,6/21/2021,53,61
32737302,6/22/2021,84,75
32737302,6/23/2021,87,70
32737302,6/24/2021,48,65
32737302,6/25/2021,52,77
31515569,6/12/2021,144,557
31515569,6/13/2021,179,337
31515569,6/14/2021,218,204
31515569,6/15/2021,245,419
31515569,6/16/2021,244,413
31515569,6/17/2021,200,340
31515569,6/18/2021,191,389
31515569,6/19/2021,315,280
31515569,6/20/2021,387,340
31515569,6/21/2021,390,269
31515569,6/22/2021,224,304
31515569,6/23/2021,269,241
31515569,6/24/2021,265,198
31515569,6/25/2021,264,218
6676673,6/12/2021,392,548
6676673,6/13/2021,500,431
6676673,6/14/2021,557,356
6676673,6/15/2021,508,460
6676673,6/16/2021,702,556
6676673,6/17/2021,530,645
6676673,6/18/2021,620,682
6676673,6/19/2021,614,557
6676673,6/20/2021,658,684
6676673,6/21/2021,455,604
6676673,6/22/2021,597,650
6676673,6/23/2021,425,574
6676673,6/24/2021,274,541
6676673,6/25/2021,266,491
7061886,6/12/2021,17,35
7061886,6/13/2021,19,13
7061886,6/14/2021,15,18
7061886,6/15/2021,15,18
7061886,6/16/2021,18,17
7061886,6/17/2021,8,15
7061886,6/18/2021,16,18
7061886,6/19/2021,7,10
7061886,6/20/2021,14,11
7061886,6/21/2021,10,15
7061886,6/22/2021,6,15
7061886,6/23/2021,12,10
7061886,6/24/2021,7,10
7061886,6/25/2021,2,10
85004,6/12/2021,56,54
85004,6/13/2021,95,74
85004,6/14/2021,47,81
85004,6/15/2021,78,74
85004,6/16/2021,81,59
85004,6/17/2021,79,74
85004,6/18/2021,57,69
85004,6/19/2021,77,59
85004,6/20/2021,83,74
85004,6/21/2021,76,91
85004,6/22/2021,83,105
85004,6/23/2021,75,102
85004,6/24/2021,51,92
85004,6/25/2021,50,51
4066298,6/12/2021,236,330
4066298,6/13/2021,298,346
4066298,6/14/2021,269,265
4066298,6/15/2021,381,256
4066298,6/16/2021,383,255
4066298,6/17/2021,494,337
4066298,6/18/2021,2362,391
4066298,6/19/2021,1319,466
4066298,6/20/2021,892,2180
4066298,6/21/2021,754,887
4066298,6/22/2021,364,966
4066298,6/23/2021,432,959
4066298,6/24/2021,453,447
4066298,6/25/2021,386,457
32939029,6/12/2021,83,126
32939029,6/13/2021,115,125
32939029,6/14/2021,245,101
32939029,6/15/2021,265,102
32939029,6/16/2021,169,149
32939029,6/17/2021,135,224
32939029,6/18/2021,108,196
32939029,6/19/2021,104,189
32939029,6/20/2021,149,142
32939029,6/21/2021,128,102
32939029,6/22/2021,56,126
32939029,6/23/2021,59,135
32939029,6/24/2021,56,98
32939029,6/25/2021,36,77
