Kategori: Tüm kategoriler

Ay,dolar kuru: (Türkiye)
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,<1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,2
2013-08,2
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,2
2014-03,1
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,3
2014-10,3
2014-11,3
2014-12,4
2015-01,3
2015-02,4
2015-03,5
2015-04,4
2015-05,3
2015-06,5
2015-07,3
2015-08,4
2015-09,3
2015-10,3
2015-11,3
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,6
2016-08,4
2016-09,3
2016-10,3
2016-11,9
2016-12,8
2017-01,9
2017-02,7
2017-03,6
2017-04,8
2017-05,6
2017-06,5
2017-07,5
2017-08,4
2017-09,5
2017-10,9
2017-11,10
2017-12,7
2018-01,6
2018-02,5
2018-03,7
2018-04,9
2018-05,21
2018-06,15
2018-07,20
2018-08,100
2018-09,45
2018-10,36
2018-11,21
2018-12,12
2019-01,16
2019-02,13
2019-03,31
2019-04,40
2019-05,37
2019-06,25
2019-07,27
2019-08,27
2019-09,21
2019-10,26
2019-11,14
2019-12,15
2020-01,13
2020-02,14
2020-03,17
2020-04,14
2020-05,15
2020-06,11
2020-07,9
2020-08,20
2020-09,15
2020-10,18
2020-11,27
2020-12,12
