,price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits,ty_visits,category_basket,category_favored,w_day,Month,weeknumber
,59.99,18/06/2021,32737302,76,5222,676,386,5860,3459,788525,91784941,29529,66037,Fri,Jun,24
,59.99,17/06/2021,32737302,102,8368,1541,705,6726,3998,918671,102409626,33838,78801,Thu,Jun,24
,60.24,16/06/2021,32737302,104,5223,485,367,6044,4296,830677,105918459,29629,68988,Wed,Jun,24
,61.83,15/06/2021,32737302,88,4957,411,353,6007,4470,839150,103541571,29324,64562,Tue,Jun,24
,61.15,14/06/2021,32737302,88,5109,380,398,6707,5177,913292,107738598,33397,72409,Mon,Jun,24
,62.11,13/06/2021,32737302,73,4842,426,347,5980,3803,1132270,124336805,36258,98006,Sun,Jun,23
1,66.29,12/06/2021,32737302,41,3081,285,181,4206,2859,751079,94869229,23670,67518,Sat,Jun,23
2,59.99,11/06/2021,32737302,37,2750,233,183,4436,2965,687978,97396151,24678,56982,Fri,Jun,23
3,61.09,10/06/2021,32737302,49,3080,282,217,4467,2992,719350,108667708,25809,57717,Thu,Jun,23
4,61.33,09/06/2021,32737302,41,3059,224,197,5013,3094,830032,111697887,31428,69681,Wed,Jun,23
5,63.58,08/06/2021,32737302,46,3266,290,202,5586,3444,939267,102143446,32786,82923,Tue,Jun,23
6,62.75,07/06/2021,32737302,44,3237,282,164,5390,3272,885725,100674727,30789,75584,Mon,Jun,23
7,59.99,06/06/2021,32737302,50,4239,377,293,5809,3105,1198469,122742173,40537,105682,Sun,Jun,23
8,59.99,05/06/2021,32737302,32,2824,258,201,4300,2545,818209,99529251,30403,70345,Sat,Jun,23
9,61.1,04/06/2021,32737302,50,2792,277,185,4840,3111,747144,109059369,27990,60789,Fri,Jun,23
10,60.57,03/06/2021,32737302,70,3530,316,228,5636,4078,797747,131753581,26435,66458,Thu,Jun,22
11,61.32,02/06/2021,32737302,61,3693,362,216,6200,4468,886339,143524682,29286,79958,Wed,Jun,22
12,61.08,01/06/2021,32737302,73,4981,533,297,7367,5265,1061054,156205012,37356,99414,Tue,Jun,22
13,59.99,31/05/2021,32737302,44,5017,607,316,5198,3665,1010634,125439876,33728,96699,Mon,May,22
14,62.05850621,30/05/2021,32737302,58,5917,711,339,5789,4100,1335060,131821083,37958,135551,Sun,May,22
15,61.44422255,29/05/2021,32737302,55,4758,533,263,5897,4299,1150523,129670029,34901,110888,Sat,May,22
16,59.99,28/05/2021,32737302,39,3664,433,222,3430,70466,4671,103514886,785823,25551,Fri,May,22
17,61.88885268,27/05/2021,32737302,41,3628,353,225,3593,76298,5003,107391579,840232,28579,Thu,May,21
18,60.83253391,26/05/2021,32737302,46,3075,275,192,3123,67756,4470,106195988,744813,22991,Wed,May,21
19,62.868758,25/05/2021,32737302,40,3206,312,186,3010,72008,4416,107004119,750394,23528,Tue,May,21
20,61.22215742,24/05/2021,32737302,31,3001,327,163,2889,74238,4311,108235639,754112,22994,Mon,May,21
21,61.67884978,23/05/2021,32737302,45,3815,360,241,3234,96601,4628,134993625,956153,28777,Sun,May,21
22,61.84361561,22/05/2021,32737302,41,3527,322,197,3412,85995,4752,133292217,857221,26709,Sat,May,21
23,62.22360471,21/05/2021,32737302,34,2689,222,148,2474,50324,3421,114325622,589654,17928,Fri,May,21
24,61.12380965,20/05/2021,32737302,37,2587,266,149,2569,53623,3657,110621993,607309,19845,Thu,May,20
25,59.99,19/05/2021,32737302,40,2854,257,175,2439,59893,3497,111518681,648375,19145,Wed,May,20
26,59.99,18/05/2021,32737302,37,2797,281,158,2884,64457,3964,113480040,679369,21304,Tue,May,20
27,59.99,17/05/2021,32737302,24,3244,335,180,2619,70602,3738,118545626,741711,21407,Mon,May,20
28,60.87339724,16/05/2021,32737302,46,4174,462,236,4034,112331,6060,153342268,1139677,33593,Sun,May,20
29,60.60570111,15/05/2021,32737302,66,4497,453,271,4065,124114,6566,149170542,1230833,36331,Sat,May,20
30,61.36750078,14/05/2021,32737302,59,4135,372,277,4052,106079,6167,146822154,1073070,33266,Fri,May,20
31,59.99,13/05/2021,32737302,31,3450,318,211,3715,79030,5683,136620621,889701,30177,Thu,May,19
32,59.99,12/05/2021,32737302,53,3705,350,260,4673,86658,6790,151085860,942477,35316,Wed,May,19
33,59.99,11/05/2021,32737302,35,3753,392,242,3228,92614,4766,155978280,873516,27531,Tue,May,19
34,61.03708213,10/05/2021,32737302,38,3589,401,245,3350,108708,4983,169430096,991730,33917,Mon,May,19
35,59.99,09/05/2021,32737302,33,3107,303,200,3884,97248,6285,168024408,973792,34660,Sun,May,19
36,61.19573094,08/05/2021,32737302,33,3171,308,232,3554,82182,5714,167585151,863007,34291,Sat,May,19
37,60.6660851,07/05/2021,32737302,59,4417,443,250,4049,82229,5895,166533816,867597,30421,Fri,May,19
38,59.99,06/05/2021,32737302,55,4769,526,281,3925,90491,5788,167347054,889304,30852,Thu,May,18
39,59.99,05/05/2021,32737302,42,4343,522,255,3679,83821,5445,163703836,822500,29291,Wed,May,18
40,59.99,04/05/2021,32737302,37,4679,571,263,3431,93534,6738,165351961,977505,38896,Tue,May,18
41,59.99,03/05/2021,32737302,52,5108,578,282,3489,119304,9675,168766437,1214826,53824,Mon,May,18
42,59.99,02/05/2021,32737302,41,4412,497,284,3063,102490,5728,169038376,941317,35354,Sun,May,18
43,59.99,01/05/2021,32737302,29,3007,302,251,2594,64542,3989,167166342,654038,26379,Sat,May,18
44,59.99,30/04/2021,32737302,39,3030,262,196,2367,49407,3849,166390910,513576,21334,Fri,Apr,18
45,59.99,29/04/2021,32737302,35,2428,233,187,2362,39275,3442,165272801,412303,17204,Thu,Apr,17
46,59.99,28/04/2021,32737302,49,2472,263,201,2035,43546,2869,169419187,405610,16909,Wed,Apr,17
47,59.99,27/04/2021,32737302,50,3449,379,272,2138,45340,2975,178545693,423512,17015,Tue,Apr,17
48,59.99,26/04/2021,32737302,33,3513,362,271,1707,50568,2415,138166259,455188,18686,Mon,Apr,17
49,59.99,25/04/2021,32737302,20,3493,444,217,1786,67843,2434,141577160,582551,17681,Sun,Apr,17
50,59.99,24/04/2021,32737302,25,3339,364,223,1855,67635,2602,141692633,571143,19162,Sat,Apr,17
51,59.99,23/04/2021,32737302,17,2485,291,150,1728,54558,2536,132336200,476408,17703,Fri,Apr,17
